s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
,,42.867704,-85.565109,,,,,,33.941847,-84.070567,,,
,,42.867704,-85.565109,,,,,,33.982269,-84.48803,,,
,,42.867704,-85.565109,,,,,,34.024849,-84.498365,,,
,,42.867704,-85.565109,,,,,,33.944461,-84.210969,,,
,,42.867704,-85.565109,,,,,,33.869656,-84.498844,,,
,,42.867704,-85.565109,,,,,,33.856754,-84.534496,,,
,,42.867704,-85.565109,,,,,,33.972386,-84.231986,,,
,,42.867704,-85.565109,,,,,,33.908536,-84.177349,,,
,,42.867704,-85.565109,,,,,,33.984534,-84.152915,,,
,,42.867704,-85.565109,,,,,,33.90448,-84.862139,,,
,,42.867704,-85.565109,,,,,,33.752456,-84.392026,,,
,,42.867704,-85.565109,,,,,,33.820104,-84.366475,,,
,,42.867704,-85.565109,,,,,,33.96685,-84.324916,,,
,,42.867704,-85.565109,,,,,,33.87632,-84.46209,,,
,,42.867704,-85.565109,,,,,,33.61806,-84.550147,,,
,,42.867704,-85.565109,,,,,,34.113712,-84.033984,,,
,,42.867704,-85.565109,,,,,,33.987138,-83.698498,,,
,,42.867704,-85.565109,,,,,,33.456687,-81.969184,,,
,,42.867704,-85.565109,,,,,,32.383904,-83.321095,,,
,,42.867704,-85.565109,,,,,,30.893109,-83.327812,,,
,,42.867704,-85.565109,,,,,,30.290839,-81.631465,,,
,,42.867704,-85.565109,,,,,,30.331905,-81.50091,,,
,,42.867704,-85.565109,,,,,,30.280143,-81.416506,,,
,,42.867704,-85.565109,,,,,,30.213733,-81.539129,,,
,,42.867704,-85.565109,,,,,,30.506696,-86.447541,,,
,,42.867704,-85.565109,,,,,,29.697133,-82.403746,,,
,,42.867704,-85.565109,,,,,,28.731322,-81.537602,,,
,,42.867704,-85.565109,,,,,,28.7577,-81.350772,,,
,,42.867704,-85.565109,,,,,,28.705924,-81.340639,,,
,,42.867704,-85.565109,,,,,,28.793491,-81.299169,,,
,,42.867704,-85.565109,,,,,,28.754582,-81.26418,,,
,,42.867704,-85.565109,,,,,,28.589077,-81.227652,,,
,,42.867704,-85.565109,,,,,,28.43522,-81.349743,,,
,,42.867704,-85.565109,,,,,,25.98821,-80.281374,,,
,,42.867704,-85.565109,,,,,,25.985442,-80.343473,,,
,,42.867704,-85.565109,,,,,,26.298352,-80.180078,,,
,,42.867704,-85.565109,,,,,,25.799306,-80.319002,,,
,,42.867704,-85.565109,,,,,,25.783713,-80.237278,,,
,,42.867704,-85.565109,,,,,,25.779401,-80.299475,,,
,,42.867704,-85.565109,,,,,,25.766788,-80.189664,,,
,,42.867704,-85.565109,,,,,,25.813153,-80.191714,,,
,,42.867704,-85.565109,,,,,,25.814542,-80.223938,,,
,,42.867704,-85.565109,,,,,,25.851779,-80.238173,,,
,,42.867704,-85.565109,,,,,,25.933997,-80.135801,,,
,,42.867704,-85.565109,,,,,,25.890095,-80.186714,,,
,,42.867704,-85.565109,,,,,,25.82232,-80.289495,,,
,,42.867704,-85.565109,,,,,,25.786922,-80.359727,,,
,,42.867704,-85.565109,,,,,,25.859963,-80.381857,,,
,,42.867704,-85.565109,,,,,,25.958396,-80.179804,,,
,,42.867704,-85.565109,,,,,,25.780763,-80.441531,,,
,,42.867704,-85.565109,,,,,,25.656462,-80.410144,,,
,,42.867704,-85.565109,,,,,,25.774266,-80.193659,,,
,,42.867704,-85.565109,,,,,,25.713939,-80.583619,,,
,,42.867704,-85.565109,,,,,,25.774266,-80.193659,,,
,,42.867704,-85.565109,,,,,,25.774266,-80.193659,,,
,,42.867704,-85.565109,,,,,,26.165612,-80.111766,,,
,,42.867704,-85.565109,,,,,,26.186109,-80.179318,,,
,,42.867704,-85.565109,,,,,,26.08849,-80.181724,,,
,,42.867704,-85.565109,,,,,,26.125463,-80.264371,,,
,,42.867704,-85.565109,,,,,,26.111872,-80.318335,,,
,,42.867704,-85.565109,,,,,,26.11363,-80.41699,,,
,,42.867704,-85.565109,,,,,,26.715844,-80.070249,,,
,,42.867704,-85.565109,,,,,,26.848356,-80.087612,,,
,,42.867704,-85.565109,,,,,,26.528233,-80.084764,,,
,,42.867704,-85.565109,,,,,,26.378704,-80.104343,,,
,,42.867704,-85.565109,,,,,,26.596487,-80.175714,,,
,,42.867704,-85.565109,,,,,,27.995997,-82.375733,,,
,,42.867704,-85.565109,,,,,,28.002755,-82.545466,,,
,,42.867704,-85.565109,,,,,,27.817335,-82.68324,,,
,,42.867704,-85.565109,,,,,,27.89417,-82.674571,,,
,,42.867704,-85.565109,,,,,,26.659942,-81.893427,,,
,,42.867704,-85.565109,,,,,,26.014314,-81.585552,,,
,,42.867704,-85.565109,,,,,,26.362566,-81.818279,,,
,,42.867704,-85.565109,,,,,,27.454723,-82.535883,,,
,,42.867704,-85.565109,,,,,,27.546332,-82.496732,,,
,,42.867704,-85.565109,,,,,,27.266027,-82.516651,,,
,,42.867704,-85.565109,,,,,,27.242689,-82.475145,,,
,,42.867704,-85.565109,,,,,,29.156461,-82.209486,,,
